DATE,VALUE
2018-05-20,1500.0
2018-05-21,1510.0
2018-05-22,1522.0
2018-05-23,1535.0
2018-05-24,1549.0
2018-05-25,1551.0
2018-04-01,1000.0
2018-04-02,1005.0
2018-04-03,1017.0
2018-04-04,1022.0
2018-04-05,1047.0
2018-04-06,1055.0
2018-04-07,1060.0
2018-04-08,1069.0
2018-04-09,1077.0
2018-04-10,1086.0
2018-04-11,1098.0
2018-04-12,1103.0
2018-04-13,1115.0
2018-04-14,1123.0
2018-04-15,1126.0
2018-04-16,1131.0
2018-04-17,1141.0
2018-04-18,1152.0
2018-04-19,1160.0
2018-04-20,1164.0
2018-04-21,1172.0
2018-04-22,1183.0
2018-04-23,1208.0
2018-04-24,1220.0
2018-04-25,1228.0
2018-04-26,1238.0
2018-04-27,1248.0
2018-04-28,1273.0
2018-04-29,1278.0
2018-04-30,1285.0
2018-05-01,1294.0
2018-05-02,1309.0
2018-05-03,1319.0
2018-05-04,1327.0
2018-05-05,1339.0
2018-05-06,1348.0
2018-05-07,1360.0
2018-05-08,1367.0
2018-05-09,1377.0
2018-05-10,1385.0
2018-05-11,1395.0
2018-05-12,1404.0
2018-05-13,1408.0
2018-05-14,1420.0
2018-05-15,1445.0
2018-05-16,1470.0
2018-05-17,1482.0
2018-05-18,1491.0
2018-05-19,1500.0
2018-05-26,1555.0
2018-05-27,1559.0
2018-05-28,1570.0
2018-05-29,1578.0
2018-05-30,1590.0
2018-05-31,1600.0
2018-06-05,1625.0
2018-06-04,1620.0
2018-06-03,1615.0
2018-06-02,1610.0
2018-06-01,1605.0
2015-11-02,10132.0
2015-10-05,10072.0
2015-09-03,10059.0
2015-08-03,10049.0
2015-07-01,10036.0
2015-06-01,10027.0
2015-04-30,10016.0
2015-04-01,9973.0
2015-03-02,9905.0
2015-02-02,9800.0
2014-12-31,9700.0
2014-12-01,9606.0
2014-10-31,9520.0
2014-10-23,9504.0
2014-10-01,9479.0
2014-09-01,9473.0
2014-08-26,9472.0
2014-08-01,9465.0
2014-07-01,9457.0
2014-06-02,9450.0
2014-04-30,9414.0
2014-03-31,9345.0
2014-03-24,9319.0
2014-03-06,9250.0
2014-02-17,9181.0
2014-02-03,9115.0
2014-01-27,9088.0
2014-01-20,9064.0
2014-01-13,9032.0
2014-01-06,9002.0
2013-12-30,8968.0
2013-12-24,8941.0
2013-12-16,8904.0
2013-12-09,8872.0
2013-12-02,8842.0
2013-11-25,8811.0
2013-11-11,8746.0
2013-11-06,8733.0
